date,ID,rep,conductance,temperature,leaf_angle,rel_chlorophyll,thickness,leaf_area,leaf_mass
08/21/19,SL1_SOR_1,A,143.8,37,NA,NA,NA,NA,NA
08/21/19,SL1_SOR_1,B,172.5,36.3,NA,NA,NA,NA,NA
08/21/19,SL1_SOR_1,C,225.9,35.5,NA,NA,NA,NA,NA
08/21/19,SL1_SOR_2,A,429.6,43.5,NA,NA,NA,NA,NA
08/21/19,SL1_SOR_2,B,292,42.7,NA,NA,NA,NA,NA
08/21/19,SL1_SOR_2,C,487.6,42,NA,NA,NA,NA,NA
08/21/19,SL1_SOR_3,A,542.8,47.9,NA,NA,NA,NA,NA
08/21/19,SL1_SOR_3,B,275.9,46.4,NA,NA,NA,NA,NA
08/21/19,SL1_SOR_3,C,710.8,45.2,NA,NA,NA,NA,NA
08/23/19,SL4_SOR_1,A,232.7,26.1,NA,NA,NA,NA,NA
08/23/19,SL4_SOR_1,B,546.5,26.9,NA,NA,NA,NA,NA
08/23/19,SL4_SOR_1,C,255.9,27.6,NA,NA,NA,NA,NA
08/23/19,SL4_SOR_2,A,402.1,29.3,NA,NA,NA,NA,NA
08/23/19,SL4_SOR_2,B,324.2,30.9,NA,NA,NA,NA,NA
08/23/19,SL4_SOR_2,C,322.3,31.8,NA,NA,NA,NA,NA
08/23/19,SL4_SOR_3,A,403.1,32.3,NA,NA,NA,NA,NA
08/23/19,SL4_SOR_3,B,566.3,32.8,NA,NA,NA,NA,NA
08/23/19,SL4_SOR_3,C,559.6,33.4,NA,NA,NA,NA,NA
09/04/19,USDA1_SOR_1,A,438.9,29.4,10.442,52.03,1.73,28973.522,1933.6
09/04/19,USDA1_SOR_1,B,438.9,29.4,10.442,52.03,1.73,33547.91,2114
09/04/19,USDA1_SOR_1,C,438.9,29.4,10.442,52.03,1.73,30499.37,2195.3
09/04/19,USDA1_SOR_1,A,438.9,29.4,3.536,61.2,2.28,28973.522,1933.6
09/04/19,USDA1_SOR_1,B,438.9,29.4,3.536,61.2,2.28,33547.91,2114
09/04/19,USDA1_SOR_1,C,438.9,29.4,3.536,61.2,2.28,30499.37,2195.3
09/04/19,USDA1_SOR_1,A,438.9,29.4,14.349,54.22,2.22,28973.522,1933.6
09/04/19,USDA1_SOR_1,B,438.9,29.4,14.349,54.22,2.22,33547.91,2114
09/04/19,USDA1_SOR_1,C,438.9,29.4,14.349,54.22,2.22,30499.37,2195.3
09/04/19,USDA1_SOR_1,A,392.3,30.4,10.442,52.03,1.73,28973.522,1933.6
09/04/19,USDA1_SOR_1,B,392.3,30.4,10.442,52.03,1.73,33547.91,2114
09/04/19,USDA1_SOR_1,C,392.3,30.4,10.442,52.03,1.73,30499.37,2195.3
09/04/19,USDA1_SOR_1,A,392.3,30.4,3.536,61.2,2.28,28973.522,1933.6
09/04/19,USDA1_SOR_1,B,392.3,30.4,3.536,61.2,2.28,33547.91,2114
09/04/19,USDA1_SOR_1,C,392.3,30.4,3.536,61.2,2.28,30499.37,2195.3
09/04/19,USDA1_SOR_1,A,392.3,30.4,14.349,54.22,2.22,28973.522,1933.6
09/04/19,USDA1_SOR_1,B,392.3,30.4,14.349,54.22,2.22,33547.91,2114
