date,DOY,ID,species,site,plant_date,lat,long,clear_sky,LAI,VWC,plant_height,soil_L,soil_a,soil_b,soil_value,soil_alb
8/9/19,221,USDA3B_COT_1,GOSSY,USDA,6/11/19,33.593882,-101.902941,0.9,2.02,0.056,61,50,27,36,4.903972545,0.22409043
8/9/19,221,USDA3B_COT_2,GOSSY,USDA,6/11/19,33.593882,-101.902941,0.9,2.02,0.052,66,53,26,37,5.198953048,0.244393938
8/9/19,221,USDA3B_COT_3,GOSSY,USDA,6/11/19,33.593882,-101.902941,0.9,2.02,0.042,66,56,22,42,5.494741413,0.264753051
8/9/19,221,USDA4_SOR_1,SOBI2,USDA,6/11/19,33.593652,-101.902917,0.9,4.98,0.042,111.5,59,27,44,5.795797738,0.285474758
8/9/19,221,USDA4_SOR_2,SOBI2,USDA,6/11/19,33.593652,-101.902917,0.9,4.98,0.027,99.1,51,23,40,5.000598822,0.230741217
8/9/19,221,USDA4_SOR_3,SOBI2,USDA,6/11/19,33.593652,-101.902917,0.9,4.98,0.063,118.1,55,28,40,5.39739169,0.25805247
8/12/19,224,USDA3_COT_1,GOSSY,USDA,6/11/19,33.5956,-101.9023,1,1.62,0.142,41,53,20,41,5.196737818,0.244241464
8/12/19,224,USDA3_COT_2,GOSSY,USDA,6/11/19,33.5956,-101.9023,1,1.62,0.089,38.6,46,25,34,4.512664354,0.197156687
8/12/19,224,USDA3_COT_3,GOSSY,USDA,6/11/19,33.5956,-101.9023,1,1.62,0.135,39.9,52,22,38,5.098928311,0.237509236
8/15/19,227,USDAP1_COT_1,GOSSY,USDA,3/18/19,33.5952,-101.9032,0.9,1.38,0.065,74,56,21,42,5.494435669,0.264732007
8/15/19,227,USDAP1_COT_2,GOSSY,USDA,3/18/19,33.5952,-101.9032,0.9,1.38,0.058,58,53,23,40,5.197741796,0.244310568
8/15/19,227,USDAP1_COT_3,GOSSY,USDA,3/18/19,33.5952,-101.9032,0.9,1.38,0.074,70,54,21,41,5.295962005,0.251071065
8/15/19,227,USDAP2_COT_1,GOSSY,USDA,4/3/19,33.5948,-101.9032,0.9,1.52,0.087,56,64,19,45,6.297551608,0.320010477
8/15/19,227,USDAP2_COT_2,GOSSY,USDA,4/3/19,33.5948,-101.9032,0.9,1.52,0.055,68,49,29,34,4.80677891,0.217400592
8/15/19,227,USDAP2_COT_3,GOSSY,USDA,4/3/19,33.5948,-101.9032,0.9,1.52,0.086,47,59,20,36,5.794414748,0.285379567
8/16/19,228,USDAP3_COT_1,GOSSY,USDA,4/17/19,33.5945,-101.9032,0.9,1.92,0.127,62,60,21,40,5.894696972,0.292281993
8/16/19,228,USDAP3_COT_2,GOSSY,USDA,4/17/19,33.5945,-101.9032,0.9,1.92,0.116,52,58,22,41,5.694376058,0.278493904
