,DATE,DOY,SEASON,ID,SPECIES,SITE,FIELD,REP,IRRIGATION,PLANTED,DSP,LAT,LONG,CLEAR.SKY,LAI,TEMPERATURE,REL_HUM,DEW_PT_C,SOIL_MOIS,HEIGHT,AMB_HUM,AMB_TEMP,LEAF_ANGLE,PAR,CHL,PHI2,PHI_NO,PHI_NPQ,LEF,SLA,LMA,Thickness,LD,GL,ALB,TIME_DEC,SOIL_ALB
1,8/21/19,233,Summer,SL1_SOR_1,Sorghum,SL,SL1,1,Irrigated,,NA,34.1117,-102.3249,1,6.59,NA,NA,NA,9,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.7333333,15.30185027,10.34166667,26.45649499
2,8/21/19,233,Summer,SL1_SOR_2,Sorghum,SL,SL1,2,Irrigated,,NA,34.1117,-102.3249,1,6.59,NA,NA,NA,5.8,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.0666667,17.75233176,10.86677419,27.14133603
3,8/21/19,233,Summer,SL1_SOR_3,Sorghum,SL,SL1,3,Irrigated,,NA,34.1117,-102.3249,1,6.59,35.57,35.25,17.88,6.4,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.8333333,21.55162576,11.43322581,25.77568826
4,8/23/19,235,Summer,SL4_SOR_1,Sorghum,SL,SL4,1,Irrigated,,NA,34.145,-102.35429,0.9,5.03,26.49333333,55.12133333,16.76766667,22.7,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.0333333,23.12648178,9.795,11.0575446
5,8/23/19,235,Summer,SL4_SOR_2,Sorghum,SL,SL4,2,Irrigated,,NA,34.145,-102.35429,0.9,5.03,28.345,49.407,16.75,24.2,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.5333333,20.85783844,10.37833333,10.39282554
6,8/23/19,235,Summer,SL4_SOR_3,Sorghum,SL,SL4,3,Irrigated,,NA,34.145,-102.35429,0.9,5.03,29.73466667,47.55433333,17.41766667,21.5,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.6666667,20.2433708,10.995,17.02994462
7,9/4/19,247,Summer,USDA1_SOR_1,Sorghum,USDA,USDA1,1,Irrigated,,NA,33.595149,-101.898951,0.8,1.97,28.465,44.34666667,15.165,6.5,90,63.189,24.47,9.442333333,189.726,55.81666667,0.640666667,0.186,0.173,54.6958785,14.91555583,0.06724323,2.076666667,0.032883769,468.3333333,18.97288839,9.775,21.04617644
8,9/4/19,247,Summer,USDA1_SOR_2,Sorghum,USDA,USDA1,2,Irrigated,,NA,33.595149,-101.898951,0.8,1.97,30.14,40.99,15.44833333,5.4,100,62.78966667,24.66333333,40.92933333,153.5133333,61.68666667,0.637333333,0.181,0.181333333,43.5435195,15.45517082,0.064771674,1.98,0.03275789,630.6,21.10583446,10.325,23.06806302
9,9/4/19,247,Summer,USDA1_SOR_3,Sorghum,USDA,USDA1,3,Irrigated,,NA,33.595149,-101.898951,0.8,1.97,32.6475,35.75,15.5125,7.3,120,62.16433333,24.98666667,55.49766667,158.025,67.35666667,0.614333333,0.179666667,0.206,42.74581995,15.09274344,0.066412922,1.846666667,0.03625714,344.7666667,18.72719832,10.90833333,23.74306556
10,9/4/19,247,Summer,USDA2_COT_1,Cotton,USDA,USDA2,1,Irrigated,6/28/19,68,33.595162,-101.899343,0.8,1.62,33.23833333,35.09333333,15.75,5.4,60,67.91033333,23.02333333,22.374,109.4666667,53.39666667,0.677,0.283333333,0.040333333,33.31914,11.70757228,0.085588125,1.946666667,0.044096559,317.4666667,18.82665373,11.49166667,22.3908015
