date,ID,rep,conductance,temperature,amb_hum,amb_temp,ECSt_mAU,gH+,leaf_angle,leaf_temp_diff,LEF,PAR,NPQt,Phi2,PhiNO,PhiNPQ,PS1_active ,PS1_open,PS1_over,PS1_oxidized,rel_chlorophyll,thickness,vH+,leaf_area,leaf_mass
10/09/19,BH1_SOR_1,A,181.9,23.2,56.844,24.91,0.00115,138.567,13.501,1.62,173.93652,966.314,2.809,0.4,0.158,0.443,2.246,0.629,0.074,0.297,54.55,1.75,0.159,26239.958,1757
10/09/19,BH1_SOR_1,B,264.9,24.3,55.073,25.59,0.00027,290.366,48.769,-0.64,28.0080864,99.904,0.966,0.623,0.192,0.185,4.3,0.376,0.399,0.225,67.2,1.95,0.078,27470.286,1654.2
10/09/19,BH1_SOR_1,C,158.1,25.3,53.366,25.98,0.00086,94.158,36.972,-1.85,86.728185,434.075,2.205,0.444,0.174,0.383,-0.748,-1.057,3.228,-1.171,58.58,1.99,0.081,24803.904,2084.6
10/09/19,BH1_SOR_2,A,184.4,24.9,49.691,27.82,0.00098,123.502,23.681,-1.87,135.8758962,762.491,1.677,0.396,0.226,0.379,2.555,0.545,0.016,0.439,64.45,1.69,0.121,35658.714,2760.5
10/09/19,BH1_SOR_2,B,405,25.6,49.264,28.03,0.00053,206.942,54.339,1.08,293.4479016,1906.744,3.795,0.342,0.137,0.521,3.319,0.355,0.26,0.385,31.28,1.82,0.11,18021.922,1375.6
10/09/19,BH1_SOR_2,C,201.9,26.6,48.798,28.24,0.0001,101.473,34.003,-2.67,26.33474025,89.895,0.832,0.651,0.19,0.158,3.828,0.799,0.401,-0.2,70.25,1.8,0.01,23812.115,1748
10/09/19,BH1_SOR_3,A,303.7,26.2,50.493,28.14,0.0007,211.031,37.092,-1.43,146.2354371,648.638,1.992,0.501,0.167,0.332,-3.677,-1.114,1.421,0.693,57.34,1.67,0.148,27803.785,2194.3
10/09/19,BH1_SOR_3,B,311.9,27.6,49.416,28.7,0.00113,143.718,18.408,-1.99,209.2361724,1042.532,2.314,0.446,0.167,0.387,3.765,0.567,0.307,0.126,55.55,2.01,0.162,22073.237,1762.3
10/09/19,BH1_SOR_3,C,438.7,28.4,47.572,29.04,0.00108,160.772,26.121,-1.43,231.6239955,1491.942,2.743,0.345,0.175,0.48,-3.855,-0.536,1.53,0.006,50.6,1.88,0.174,31367.838,2451.7
01/23/20,BH1_WHE_1,A,173.9,14.6,45.875,10.84,0.00157,88.164,43.799,0.35,192.85722,1503.76,3.777,0.285,0.15,0.566,6.508,0.149,0.66,0.191,59.86,1.35,0.138,1464.6,93.1
01/23/20,BH1_WHE_1,B,87.4,15.1,41.035,12.51,0.0008,62.626,33.885,0.6,124.9350156,1341.224,1.419,0.207,0.328,0.465,2.072,0.18,0.068,0.752,21.83,1.09,0.05,1327.996,94.1
01/23/20,BH1_WHE_1,C,183.8,15.9,41.496,13.22,0.00036,57.668,44.271,1.25,153.0619065,985.906,1.373,0.345,0.276,0.379,2.792,0.27,-0.059,0.789,20.81,2.11,0.021,2322.174,174.5
01/23/20,BH1_WHE_2,A,53.5,12.3,37.244,14.93,0.00064,251.426,43.529,-0.04,126.2780739,783.849,1.185,0.358,0.294,0.348,8.573,-0.078,1.168,-0.09,44.2,1.43,0.161,1178.054,89.8
01/23/20,BH1_WHE_2,B,143.4,12.9,37.62,14.85,0.00034,124.882,40.052,-0.5,140.269023,916.791,3.381,0.34,0.151,0.509,-6.003,-0.297,1.365,-0.068,16.76,0.8,0.042,1295.446,98.8
01/23/20,BH1_WHE_2,C,89.9,13.5,38.868,14.71,0.00148,40.899,31.609,-0.62,114.6820792,1057.465,0.984,0.241,0.383,0.376,5.407,0.126,0.512,0.362,41.1,0.56,0.061,1621.523,124.8
01/23/20,BH1_WHE_3,A,149.8,17,29.219,18.19,-0.00042,494.049,43.027,0.36,144.6783683,852.805,1.646,0.377,0.235,0.387,14.378,0.072,0.839,0.089,56.96,1.02,-0.208,1473.397,113.6
01/23/20,BH1_WHE_3,B,268.6,17.2,31.124,18.01,0.00107,94.569,67.633,-1.78,119.3965974,700.068,1.331,0.379,0.266,0.355,4.39,0.286,0.524,0.19,75.02,0.94,0.101,2144.994,154.3
01/23/20,BH1_WHE_3,C,109.8,17.3,33.748,17.79,0.00091,57.823,58.981,-2.2,85.71937725,413.205,1.147,0.461,0.251,0.288,4.87,0.467,0.475,0.058,70.49,0.76,0.053,1639.431,109.4
10/09/19,BH2_COT_1,A,298.7,33.6,44.744,29.49,0.00095,142.019,7.903,-3.96,147.55068,683.105,0.956,0.48,0.266,0.254,3.259,0.424,0.286,0.29,59.98,2.52,0.135,7362.427,627.4
10/09/19,BH2_COT_1,B,163.6,31.2,44.323,30.28,0.00095,222.652,14.385,0.47,260.2756233,1530.133,2.848,0.378,0.162,0.461,0.951,1.009,-0.707,0.698,47.78,2.08,0.212,3960.616,295.6
10/09/19,BH2_COT_1,C,188.9,31.7,41.991,31.03,0.0015,144.855,39.091,-3.68,302.9574555,1781.055,1.923,0.378,0.213,0.409,2.021,0.451,-0.084,0.633,62.64,2.08,0.217,6826.202,523.2
10/09/19,BH2_COT_2,A,76.8,38.4,41.489,31.16,0.00071,134.052,88.429,-1.19,110.71323,546.732,0.878,0.45,0.293,0.257,8.834,0.057,0.692,0.252,59.56,2.21,0.095,10014.435,767.5
10/09/19,BH2_COT_2,B,36.9,37.5,42.146,31.32,0.00085,107.826,93.832,1.09,96.7334238,459.323,1.009,0.468,0.265,0.267,1.334,0.474,-0.73,1.256,60.72,1.86,0.092,9610.009,749.4
10/09/19,BH2_COT_2,C,61.3,36.8,41.43,31.54,0.00105,199.72,82.742,1.27,221.7881358,1357.748,2.892,0.363,0.164,0.473,2.41,0.409,0.001,0.59,58.82,1.56,0.21,10617.2,858.1
10/09/19,BH2_COT_3,A,198.5,35.9,37.921,32.06,0.00097,223.688,26.083,-2.77,269.1020907,1569.566,2.175,0.381,0.195,0.424,2.925,0.267,0.373,0.36,59.7,1.36,0.217,7736.69,640.1
10/09/19,BH2_COT_3,B,248.1,35.1,38.116,32.15,0.00058,307.322,31.61,-2.78,103.5123642,483.251,1.272,0.476,0.231,0.293,2.374,0.413,0.187,0.4,59.25,2.26,0.178,6057.934,531.3
10/09/19,BH2_COT_3,C,97.2,33.8,38.112,32.25,0.00048,197.189,39.665,-6.14,101.1329546,429.713,0.995,0.523,0.239,0.238,1.778,1.089,0.099,-0.188,56.76,2.12,0.095,5926.053,516.2
01/23/20,BH3_TRI_1,A,52.2,20.1,29.528,21.13,0.00185,41.655,29.644,0.38,58.89917925,576.595,3.235,0.227,0.182,0.59,1.917,0.342,-0.024,0.682,38.69,0.63,0.077,1283.995,50.9
01/23/20,BH3_TRI_1,B,111.7,18.5,35.078,20.41,0.00034,101.815,12.984,-0.46,97.1840781,501.078,2,0.431,0.19,0.38,1.012,0.783,-0.056,0.273,17.4,0.45,0.035,1393.066,61.1
01/23/20,BH3_TRI_1,C,81.1,18.4,33.056,20.65,0.00077,144.391,20.452,0.3,128.6319708,1232.107,2.146,0.232,0.244,0.524,0.686,-0.287,-1.497,2.784,18.62,0.51,0.111,1153.344,43.5
01/23/20,BH3_TRI_2,A,122.8,17.8,35.218,16.05,0.00002,436.736,44.544,-1.32,75.9882186,417.977,1.522,0.404,0.236,0.36,-2.307,-1.974,1.907,1.066,3.35,1.68,0.009,1558.367,64.4
01/23/20,BH3_TRI_2,B,131,18.3,38.138,16.66,0.00025,131.527,38.818,0.07,44.72519625,205.775,0.622,0.483,0.318,0.198,2.691,0.009,-0.044,1.035,21.11,0.81,0.033,2902.346,119.3
01/23/20,BH3_TRI_2,C,73.3,18.3,37.854,17.3,0.00018,233.552,33.062,-0.17,89.3648835,781.845,1.09,0.254,0.357,0.389,1.136,0.39,0.011,0.599,15.36,1.22,0.042,1909.378,66.7
01/23/20,BH3_TRI_3,A,142.2,18.6,31.318,21.25,0.00059,64.111,56.278,-0.1,45.82593945,233.033,1.368,0.437,0.238,0.326,2.218,0.812,0.025,0.163,32.06,0.29,0.038,1594.746,48.3
01/23/20,BH3_TRI_3,B,80.8,18,31.366,21.43,0.00111,129.531,82.593,-1.68,126.3862544,897.311,1.42,0.313,0.284,0.403,2.555,0.456,0.275,0.269,45.3,0.75,0.144,2049.319,77.6
01/23/20,BH3_TRI_3,C,113.1,18.1,33.767,21.29,0.00035,-333.781,33.907,0.32,189.3524958,1323.218,2.33,0.318,0.205,0.477,0.931,0.298,-0.144,0.846,5.22,0.22,-0.117,1571.185,65.1
01/24/20,JS1_RYE_1,A,94,15.1,37.515,13.62,null,null,27.15,2.17,154.9445373,1631.854,3.164,0.211,0.189,0.599,2.084,0.263,0.248,0.489,12.23,0.6,null,737.051,49.2
01/24/20,JS1_RYE_1,B,337.8,16.3,36.792,14.51,-0.00012,1015.816,29.812,2.48,113.6917377,652.838,0.799,0.387,0.34,0.272,1.583,1.946,-12.521,11.575,13.16,0.65,-0.122,997.606,62
01/24/20,JS1_RYE_1,C,394,17.3,34.924,15.62,0.00022,644.382,37.112,-0.79,169.9156616,1878.559,1.008,0.201,0.398,0.401,2.953,0.269,0.53,0.201,3.42,0.74,0.142,724.456,47.1
01/24/20,JS1_RYE_2,A,273.5,15.3,30.596,16.46,0.00006,574.413,61.067,-0.99,16.11619425,58.615,0.567,0.611,0.248,0.141,-0.671,-0.047,1.36,-0.313,3.71,0.77,0.034,593.367,31.6
01/24/20,JS1_RYE_2,B,230.9,16.4,30.899,16.92,0.00063,112.743,35.626,0.61,191.1504375,1699.115,2.674,0.25,0.204,0.546,1.885,-0.139,-0.458,1.596,25.47,0.68,0.071,564.08,33
01/24/20,JS1_RYE_2,C,189.8,16.7,30.526,17.41,0.00243,36.367,38.089,1.42,176.2851033,1612.118,2.177,0.243,0.238,0.519,0.914,0.414,-1.365,1.952,37.42,0.87,0.088,626.758,35.6
01/24/20,JS1_RYE_3,A,290.1,17.6,33.667,16.58,0.0006,79.229,26.109,-0.89,177.1278719,1508.113,1.585,0.261,0.286,0.453,2.352,0.245,0.682,0.073,42.43,0.64,0.048,660.762,31.9
01/24/20,JS1_RYE_3,B,211.4,19,32.935,17.81,0.00005,697.196,43.187,0.38,20.50903485,75.833,0.959,0.601,0.204,0.195,1.912,0.315,0.633,0.052,11.54,0.3,0.035,653.077,32.4
01/24/20,JS1_RYE_3,C,85.7,19.8,31.343,18.38,0.00023,155.306,33.729,0.27,175.6656909,1327.783,3.288,0.294,0.165,0.541,2.319,0.132,0.094,0.773,9.62,0.71,0.036,887.62,46.6
01/24/20,JS2_RYE_1,A,98.8,18,32.935,16.75,0.00008,716.431,30.516,1.98,194.4248575,1870.369,2.156,0.231,0.244,0.526,-2.71,0.074,1.848,-0.922,8.54,0.51,0.057,617.206,38.9
01/24/20,JS2_RYE_1,B,197.5,20.5,32.007,17.83,0.00036,102.717,24.273,2.36,198.0185472,1718.911,3.175,0.256,0.178,0.566,2.413,0.243,0.176,0.581,14.92,0.58,0.037,937.508,64.2
01/24/20,JS2_RYE_1,C,179.6,21.7,29.926,18.91,0.00062,77.349,35.911,2.66,174.6252783,1623.666,3.676,0.239,0.163,0.598,3.433,0.015,0.479,0.506,23.31,0.56,0.048,646.882,47.8
01/24/20,JS2_RYE_2,A,201.1,19.2,26.915,21.14,0.00042,125.207,17.007,-2.05,159.2314605,1156.365,3.045,0.306,0.172,0.523,-0.243,0.028,5.402,-4.431,18.84,0.66,0.053,830.558,59.9
01/24/20,JS2_RYE_2,B,96.7,20.6,26.94,21.19,0.00088,70.638,31.949,1.2,92.43870975,758.005,2.772,0.271,0.193,0.535,1.346,0.253,0.419,0.327,29.05,0.57,0.062,585.573,42.7
01/24/20,JS2_RYE_2,C,127.9,21.5,27.137,21.23,0.00148,79.848,22.693,2.26,143.9984678,1560.959,4.621,0.205,0.141,0.653,1.732,0.228,-0.059,0.831,44.9,0.61,0.118,721.227,50.8
01/24/20,JS2_RYE_3,A,105.7,22.3,28.708,20.1,0.00025,81.901,11.243,-1.37,132.4223433,780.562,1.427,0.377,0.257,0.366,4.201,-0.361,0.159,1.202,19.33,0.77,0.02,558.142,43.8
01/24/20,JS2_RYE_3,B,227.5,22.7,27.332,20.68,0.00011,1043.239,17.959,-0.23,172.6276617,1092.926,0.991,0.351,0.326,0.323,-8.305,-1.657,1.313,1.344,37.75,0.63,0.115,661.14,42.9
01/24/20,JS2_RYE_3,C,127.8,21.7,27.613,20.99,-0.00003,208.436,26.171,0.82,16.36262775,58.365,0.887,0.623,0.2,0.177,3.05,0.601,0.477,-0.078,7.23,0.91,-0.006,460.985,28.1
02/24/20,KK1_RYE_1,A,53.5,35.9,30.985,22.04,0.00016,72.653,39.063,-1.13,122.9939712,649.216,1.403,0.421,0.241,0.338,1.873,0.375,0.48,0.145,8.71,0.71,0.012,1606.803,99.8
02/24/20,KK1_RYE_1,B,379.6,32.3,30.815,22.4,0.00023,225.723,51.26,0.65,255.1572576,1687.548,2.051,0.336,0.218,0.447,1.027,0.091,-0.088,0.998,14,0.44,0.052,1487.637,105
02/24/20,KK1_RYE_1,C,50.7,30.3,32.091,22.61,0.00047,131.498,34.07,3.44,264.0129957,1968.777,3.442,0.298,0.158,0.544,1.872,0.272,0.09,0.638,24.44,0.6,0.062,1857.923,137.9
02/24/20,KK1_RYE_2,A,294.9,27.7,30.055,22.49,0.00083,145.259,53.327,1.88,284.0292279,1872.926,2.921,0.337,0.169,0.494,2.218,0.335,0.131,0.533,48.74,0.42,0.121,1530.371,116
02/24/20,KK1_RYE_2,B,133,26.7,30.527,22.88,0.00166,107.174,54.626,2.03,175.5814658,1230.855,2.274,0.317,0.208,0.474,3.27,0.325,0.181,0.494,72.48,0.67,0.178,1454.366,94.4
02/24/20,KK1_RYE_2,C,49.4,25.3,29.484,23.4,0.0108,33.168,59.066,1.41,195.7543317,1995.457,1.964,0.218,0.264,0.518,2.618,0.408,0.453,0.139,9.81,3.32,0.358,1645.346,102.9
02/24/20,KK1_RYE_3,A,56.5,27.8,29.626,26.06,-0.00357,0.9,30.434,2.61,221.0871573,1256.534,2.083,0.391,0.197,0.411,3.29,0.356,0.332,0.311,36.94,0.46,-0.003,1945.825,83.1
02/24/20,KK1_RYE_3,B,129.9,25.6,34.285,26.44,0.00163,90.85,50.501,2.13,184.8905082,1456.978,2.891,0.282,0.185,0.533,3.017,0.322,0.08,0.598,72.33,0.49,0.148,1639.912,99.3
02/24/20,KK1_RYE_3,C,29.8,25.1,26.133,26.73,0.00014,188.769,31.678,0.76,159.5393406,760.798,1.388,0.466,0.223,0.31,2.085,0.54,0.248,0.213,15.68,0.53,0.026,1510.577,124.7
02/24/20,KK2_RYE_1,A,366.3,32.9,22.516,27.71,0.00092,349.415,36.88,0.82,121.5680094,1647.263,2.233,0.164,0.259,0.578,1.797,0.189,-0.012,0.823,47.34,0.67,0.321,1896.679,108.1
02/24/20,KK2_RYE_1,B,588.5,30.9,20.743,27.71,0.00024,113.076,26.583,0.28,131.1461307,673.062,1.587,0.433,0.219,0.348,1.066,0.615,-0.076,0.462,18.82,0.62,0.027,1647.679,90
02/24/20,KK2_RYE_1,C,208.7,28.9,20.557,27.45,0.00105,109.654,36.756,-1.2,139.7854139,815.313,1.709,0.381,0.229,0.391,2.277,0.634,0.058,0.307,61.2,0.56,0.115,1959.204,103
02/24/20,KK2_RYE_2,A,496.9,27.9,19.599,27.25,0.00011,254.618,29.285,-1.62,225.828108,1382.48,1.918,0.363,0.218,0.419,0.659,0.734,-1.63,1.896,9.3,1.05,0.028,1969.938,99.4
02/24/20,KK2_RYE_2,B,422.3,27.6,18.408,27.86,0.00081,181.806,31.464,-0.43,171.046566,1144.89,2.207,0.332,0.208,0.46,0.976,0.251,-0.705,1.454,48.69,0.78,0.147,1585.463,74.7
02/24/20,KK2_RYE_2,C,562,27.3,17.583,27.52,0.00039,384.111,39,-1.23,157.339949,871.931,2.23,0.401,0.186,0.414,-1.098,-1.078,2.469,-0.391,26.33,0.52,0.15,1193.544,57.2
02/24/20,KK2_RYE_3,A,318.6,21.9,25.949,22.4,0.0008,99.01,50.524,-0.45,87.2414802,454.028,1.409,0.427,0.238,0.335,1.292,0.051,-0.621,1.57,40.81,0.96,0.079,1575.276,70.4
02/24/20,KK2_RYE_3,B,558.1,24.6,25.635,22.9,0.00014,188.597,34.362,0.39,126.31599,615.575,1.38,0.456,0.229,0.316,2.578,0.518,0.592,-0.11,9.44,0.54,0.026,1455.24,83.2
02/24/20,KK2_RYE_3,C,228.1,25.3,25.204,23.21,0.00058,170.782,27.148,0.28,145.5318846,1325.427,1.052,0.244,0.369,0.388,3.05,0.371,0.694,-0.064,40.43,0.4,0.099,1292.667,71.1
